title,institute,certificate_code,certificate_url,class_hours,started_at,ended_at,course_id
AWS Skill Builder - Why Analytics for Games (Portuguese),AWS,,https://res.cloudinary.com/dnk5clykr/image/upload/v1704387737/certificados/certificate-why-analytics-for-games_nzgsod.jpg,0.25,2023-12-29,2023-12-29,c4029ff5-1b19-46f9-9c32-830af9ecd36e
AWS Skill Builder - Serverless Analytics (Portuguese),AWS,,https://res.cloudinary.com/dnk5clykr/image/upload/v1704387735/certificados/certificate-serverless-analytics_w4vaf5.jpg,0.5,2023-12-29,2023-12-29,0765014b-a2a2-4fa3-bddc-2554d30844ff
AWS Skill Builder - Best Pratices for Data Warehousing,AWS,,https://res.cloudinary.com/dnk5clykr/image/upload/v1704387728/certificados/certificate-best-practices-data-wwarehousing_ta6q1o.jpg,1.0,2024-01-01,2024-01-01,97320919-bfd5-489d-9aa1-289055e40767
AWS Skill Builder - Deep Dive into Concepts and Tools for Analyzing Streaming Data (Portuguese),AWS,,https://res.cloudinary.com/dnk5clykr/image/upload/v1704387727/certificados/certificate-deep-dive-into-concepts-and-tools-for-analyzing-streaming-data_wybqxo.jpg,0.58,2023-12-29,2023-12-29,924c824a-cbb3-4e72-afb2-011ac8c78d64
AWS Skill Builder - Getting Started with Amazon Redshift,AWS,,https://res.cloudinary.com/dnk5clykr/image/upload/v1704387728/certificados/certificate-best-practices-data-wwarehousing_ta6q1o.jpg,1.0,2023-12-29,2023-12-29,ab1f71e1-0739-4087-9c32-45a44be05166
AWS Skill Builder - Introduction to AWS IoT Analytics,AWS,,https://res.cloudinary.com/dnk5clykr/image/upload/v1704387734/certificados/certificate-introduction-aws-iot-analytics_jiiyb1.jpg,0.5,2023-12-29,2023-12-29,3a5a6161-b4a3-47f6-916f-39c7598a09b7
AWS Skill Builder - Introduction to Amazon Quicksight,AWS,,https://res.cloudinary.com/dnk5clykr/image/upload/v1704387734/certificados/certificate-introduction-amazon-quicksight_veim6t.jpg,0.16,2023-12-29,2023-12-29,b6c11056-d6b4-45af-9059-f93751b00266
AWS Skill Builder - Introduction to Amazon Athena,AWS,,https://res.cloudinary.com/dnk5clykr/image/upload/v1704387730/certificados/certificate-introduction-amazon-athena_pje74c.jpg,0.16,2023-12-29,2023-12-29,45e95c45-e20f-45e0-98f6-305db2278aa9
AWS Skill Builder - Introduction to Amazon Elastic MapReduce (EMR),AWS,,https://res.cloudinary.com/dnk5clykr/image/upload/v1704387731/certificados/certificate-introduction-amazon-elastic-mapreduce_iakeyu.jpg,0.25,2023-12-29,2023-12-29,0fc8acf0-e9d6-4481-a943-ccfc913cd89f
AWS Skill Builder - Introduction to Amazon Kinesis Analytics,AWS,,https://res.cloudinary.com/dnk5clykr/image/upload/v1704387731/certificados/certificate-introduction-amazon-kinesis-analytics_s9ftsk.jpg,0.11,2023-12-29,2023-12-29,6d824556-90db-40b8-ad2f-3c7b66ec4109
AWS Skill Builder - Introduction to Amazon Kinesis Streams,AWS,,https://res.cloudinary.com/dnk5clykr/image/upload/v1704387733/certificados/certificate-introduction-amazon-kinesis-streams_lgdojt.jpg,0.2,2023-12-29,2023-12-29,3b19d1a7-5064-4934-b8cd-708a3636009c
